show_id,season_ids,platform,account_handle,account_url,authority_class,authority_status,evidence_video_count,official_evidence_video_count,evidence_strength,evidence_receipt_count,source_channel_ids,first_observed_at,last_observed_at,evidence_video_urls
DTGT,DTGT_2025,facebook,dautruonggiatoc.dongtaypromotion,https://www.facebook.com/dautruonggiatoc.dongtaypromotion,SOURCE_LINKED_CANDIDATE,NEEDS_REVIEW,12,12,HIGH,2,UC5bxATIALkxlwWQzACzdjHw|UCFMEYTv6N64hIL9FlQ_hxBw,2026-08-12T14:30:13.671856+07:00,2026-08-12T18:26:40.410244+07:00,https://www.youtube.com/watch?v=-WAD83tAFLM&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=3|https://www.youtube.com/watch?v=5a1oq9x5Ea4&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=4|https://www.youtube.com/watch?v=8vShlfJv_lI&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=11|https://www.youtube.com/watch?v=HFb9tjcMWi4&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=6|https://www.youtube.com/watch?v=HbTqOA5gXWk&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=10|https://www.youtube.com/watch?v=Tf9DVcSakH4&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=5|https://www.youtube.com/watch?v=_VEb7_Kqw30|https://www.youtube.com/watch?v=erWINGggTh0&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=1|https://www.youtube.com/watch?v=iz76RZfj2v8&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=12|https://www.youtube.com/watch?v=mamNbhyBw78&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=13
DTGT,DTGT_2025,facebook,dongtaypromotion,https://www.facebook.com/dongtaypromotion,SOURCE_LINKED_CANDIDATE,NEEDS_REVIEW,12,12,HIGH,1,UCFMEYTv6N64hIL9FlQ_hxBw,2026-08-12T14:30:13.671856+07:00,2026-08-12T14:30:13.671856+07:00,https://www.youtube.com/watch?v=-WAD83tAFLM&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=3|https://www.youtube.com/watch?v=2V20IKyMqnM&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=2|https://www.youtube.com/watch?v=5a1oq9x5Ea4&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=4|https://www.youtube.com/watch?v=8vShlfJv_lI&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=11|https://www.youtube.com/watch?v=HFb9tjcMWi4&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=6|https://www.youtube.com/watch?v=HbTqOA5gXWk&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=10|https://www.youtube.com/watch?v=Tf9DVcSakH4&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=5|https://www.youtube.com/watch?v=erWINGggTh0&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=1|https://www.youtube.com/watch?v=iz76RZfj2v8&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=12|https://www.youtube.com/watch?v=mamNbhyBw78&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=13
DTGT,DTGT_2025,facebook,mianlienacecook,https://www.facebook.com/mianlienacecook,SOURCE_LINKED_CANDIDATE,NEEDS_REVIEW,1,1,MEDIUM,1,UCFMEYTv6N64hIL9FlQ_hxBw,2026-08-12T14:30:13.671856+07:00,2026-08-12T14:30:13.671856+07:00,https://www.youtube.com/watch?v=2V20IKyMqnM&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=2
DTGT,DTGT_2025,instagram,dongtaypromotion.official,https://www.instagram.com/dongtaypromotion.official,SOURCE_LINKED_CANDIDATE,NEEDS_REVIEW,12,12,HIGH,1,UCFMEYTv6N64hIL9FlQ_hxBw,2026-08-12T14:30:13.671856+07:00,2026-08-12T14:30:13.671856+07:00,https://www.youtube.com/watch?v=-WAD83tAFLM&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=3|https://www.youtube.com/watch?v=2V20IKyMqnM&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=2|https://www.youtube.com/watch?v=5a1oq9x5Ea4&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=4|https://www.youtube.com/watch?v=8vShlfJv_lI&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=11|https://www.youtube.com/watch?v=HFb9tjcMWi4&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=6|https://www.youtube.com/watch?v=HbTqOA5gXWk&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=10|https://www.youtube.com/watch?v=Tf9DVcSakH4&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=5|https://www.youtube.com/watch?v=erWINGggTh0&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=1|https://www.youtube.com/watch?v=iz76RZfj2v8&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=12|https://www.youtube.com/watch?v=mamNbhyBw78&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=13
DTGT,DTGT_2025,tiktok,dautruonggiatoc,https://www.tiktok.com/@dautruonggiatoc,SOURCE_LINKED_CANDIDATE,NEEDS_REVIEW,12,12,HIGH,2,UC5bxATIALkxlwWQzACzdjHw|UCFMEYTv6N64hIL9FlQ_hxBw,2026-08-12T14:30:13.671856+07:00,2026-08-12T18:26:40.410244+07:00,https://www.youtube.com/watch?v=-WAD83tAFLM&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=3|https://www.youtube.com/watch?v=5a1oq9x5Ea4&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=4|https://www.youtube.com/watch?v=8vShlfJv_lI&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=11|https://www.youtube.com/watch?v=HFb9tjcMWi4&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=6|https://www.youtube.com/watch?v=HbTqOA5gXWk&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=10|https://www.youtube.com/watch?v=Tf9DVcSakH4&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=5|https://www.youtube.com/watch?v=_VEb7_Kqw30|https://www.youtube.com/watch?v=erWINGggTh0&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=1|https://www.youtube.com/watch?v=iz76RZfj2v8&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=12|https://www.youtube.com/watch?v=mamNbhyBw78&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=13
DTGT,DTGT_2025,tiktok,dongtaypromotionofficial,https://www.tiktok.com/@dongtaypromotionofficial,SOURCE_LINKED_CANDIDATE,NEEDS_REVIEW,12,12,HIGH,1,UCFMEYTv6N64hIL9FlQ_hxBw,2026-08-12T14:30:13.671856+07:00,2026-08-12T14:30:13.671856+07:00,https://www.youtube.com/watch?v=-WAD83tAFLM&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=3|https://www.youtube.com/watch?v=2V20IKyMqnM&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=2|https://www.youtube.com/watch?v=5a1oq9x5Ea4&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=4|https://www.youtube.com/watch?v=8vShlfJv_lI&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=11|https://www.youtube.com/watch?v=HFb9tjcMWi4&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=6|https://www.youtube.com/watch?v=HbTqOA5gXWk&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=10|https://www.youtube.com/watch?v=Tf9DVcSakH4&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=5|https://www.youtube.com/watch?v=erWINGggTh0&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=1|https://www.youtube.com/watch?v=iz76RZfj2v8&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=12|https://www.youtube.com/watch?v=mamNbhyBw78&list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ&index=13
EXSH,EXSH_2025,facebook,diana.vietnam,https://www.facebook.com/diana.vietnam,SOURCE_LINKED_CANDIDATE,NEEDS_REVIEW,2,2,MEDIUM,1,UC2Lgi2uPsOcCVF3imz7l2mg,2026-08-12T13:28:03.124842+07:00,2026-08-12T13:28:03.124842+07:00,https://www.youtube.com/watch?v=-lFBuMLqfPA&list=PLxKLMN7WdG5D1LrbMdeJMn_fL9FrQbJ6V&index=8|https://www.youtube.com/watch?v=zzP6-SrQ7R8&list=PLxKLMN7WdG5D1LrbMdeJMn_fL9FrQbJ6V&index=7
EXSH,EXSH_2025,facebook,viechannelhtv2,https://www.facebook.com/viechannelhtv2,SOURCE_LINKED_CANDIDATE,NEEDS_REVIEW,25,25,HIGH,1,UC2Lgi2uPsOcCVF3imz7l2mg|UC2fu6CiFfNYz5UFORvFyc0w|UCkna2OcuN1E6u5I8GVtdkOw,2026-08-12T13:28:03.124842+07:00,2026-08-12T13:28:03.124842+07:00,https://www.youtube.com/watch?v=-lFBuMLqfPA&list=PLxKLMN7WdG5D1LrbMdeJMn_fL9FrQbJ6V&index=8|https://www.youtube.com/watch?v=0p2FvtMpYDM&list=PLxKLMN7WdG5D1LrbMdeJMn_fL9FrQbJ6V&index=26|https://www.youtube.com/watch?v=8bykG6rb308&list=PLxKLMN7WdG5D1LrbMdeJMn_fL9FrQbJ6V&index=19|https://www.youtube.com/watch?v=DNOYwiaVstY&list=PLxKLMN7WdG5D1LrbMdeJMn_fL9FrQbJ6V&index=2|https://www.youtube.com/watch?v=FcdcDXMln7o&list=PLxKLMN7WdG5D1LrbMdeJMn_fL9FrQbJ6V&index=28|https://www.youtube.com/watch?v=GNW7dLmYUV8&list=PLxKLMN7WdG5D1LrbMdeJMn_fL9FrQbJ6V&index=23|https://www.youtube.com/watch?v=O-_lQxbES_s&list=PLxKLMN7WdG5D1LrbMdeJMn_fL9FrQbJ6V&index=3|https://www.youtube.com/watch?v=O86YTeWG7q4&list=PLxKLMN7WdG5D1LrbMdeJMn_fL9FrQbJ6V&index=4|https://www.youtube.com/watch?v=PiYnzheu9-Y&list=PLxKLMN7WdG5D1LrbMdeJMn_fL9FrQbJ6V&index=22|https://www.youtube.com/watch?v=Qzc1gq34szk&list=PLxKLMN7WdG5D1LrbMdeJMn_fL9FrQbJ6V&index=21
EXSH,EXSH_2025,instagram,viechannelhtv2,https://www.instagram.com/viechannelhtv2,SOURCE_LINKED_CANDIDATE,NEEDS_REVIEW,25,25,HIGH,1,UC2Lgi2uPsOcCVF3imz7l2mg|UC2fu6CiFfNYz5UFORvFyc0w|UCkna2OcuN1E6u5I8GVtdkOw,2026-08-12T13:28:03.124842+07:00,2026-08-12T13:28:03.124842+07:00,https://www.youtube.com/watch?v=-lFBuMLqfPA&list=PLxKLMN7WdG5D1LrbMdeJMn_fL9FrQbJ6V&index=8|https://www.youtube.com/watch?v=0p2FvtMpYDM&list=PLxKLMN7WdG5D1LrbMdeJMn_fL9FrQbJ6V&index=26|https://www.youtube.com/watch?v=8bykG6rb308&list=PLxKLMN7WdG5D1LrbMdeJMn_fL9FrQbJ6V&index=19|https://www.youtube.com/watch?v=DNOYwiaVstY&list=PLxKLMN7WdG5D1LrbMdeJMn_fL9FrQbJ6V&index=2|https://www.youtube.com/watch?v=FcdcDXMln7o&list=PLxKLMN7WdG5D1LrbMdeJMn_fL9FrQbJ6V&index=28|https://www.youtube.com/watch?v=GNW7dLmYUV8&list=PLxKLMN7WdG5D1LrbMdeJMn_fL9FrQbJ6V&index=23|https://www.youtube.com/watch?v=O-_lQxbES_s&list=PLxKLMN7WdG5D1LrbMdeJMn_fL9FrQbJ6V&index=3|https://www.youtube.com/watch?v=O86YTeWG7q4&list=PLxKLMN7WdG5D1LrbMdeJMn_fL9FrQbJ6V&index=4|https://www.youtube.com/watch?v=PiYnzheu9-Y&list=PLxKLMN7WdG5D1LrbMdeJMn_fL9FrQbJ6V&index=22|https://www.youtube.com/watch?v=Qzc1gq34szk&list=PLxKLMN7WdG5D1LrbMdeJMn_fL9FrQbJ6V&index=21
GDHAHA,GDHAHA_S1,facebook,giadinhaha,https://www.facebook.com/giadinhaha,SOURCE_LINKED_CANDIDATE,NEEDS_REVIEW,52,39,HIGH,2,UC9G7oeTsVSoD2Z2Lt7eKdjQ|UC_np0YZuvNMIJceE6jHeggQ|UCecta98cdYVFV6L_lfH__IA|UCh_zF2FsiCflCPgYDudtcqg,2026-08-12T18:15:18.909179+07:00,2026-08-12T18:38:24.594334+07:00,https://www.youtube.com/watch?v=-LBiZymfNOQ|https://www.youtube.com/watch?v=-oDRqSVjVGY|https://www.youtube.com/watch?v=2Mv3GJygGPw|https://www.youtube.com/watch?v=3UdiCEi6Y40|https://www.youtube.com/watch?v=4aKkzzR6ifE|https://www.youtube.com/watch?v=99rHfB7cQgs|https://www.youtube.com/watch?v=9plPYoyb1ew|https://www.youtube.com/watch?v=9q10WK_xkmk|https://www.youtube.com/watch?v=9v5YHXWRGug|https://www.youtube.com/watch?v=A7O573siD6M
