show_id,show_name,season_id,season_year,comparison_group,format_type,season_status,expected_episode_count,canonical_episode_count,missing_episode_count,total_views,average_views,median_views,max_episode_no,max_episode_views,min_episode_no,min_episode_views,first_5_total_views,first_5_avg_views,first_10_total_views,first_10_avg_views,snapshot_at,qc_status,notes
ATSH,"Anh Trai ""Say Hi""",ATSH_2024,2024,music_fandom,closed_season,completed,14,14,0,195316422,13951173,13131930.0,1,21912757,13,8767608,72590284,14518056.8,139735561,13973556.1,2026-08-12T12:44:06.975475+07:00,WARNING,Aggregate views across canonical full episodes; not unique viewers or audience.
ATSH,"Anh Trai ""Say Hi""",ATSH_2025,2025,music_fandom,closed_season,completed,14,14,0,123888460,8849175.71,6143136.0,1,21913071,13,3151985,57802850,11560570,100069060,10006906,2026-08-12T13:50:58.446867+07:00,WARNING,Aggregate views across canonical full episodes; not unique viewers or audience.
EXSH,"Em Xinh ""Say Hi""",EXSH_2025,2025,music_fandom,closed_season,completed,14,14,0,120605993,8614713.79,8314424.0,1,13593319,13,4310805,50608504,10121700.8,93681345,9368134.5,2026-08-12T13:28:03.124842+07:00,PASS,Aggregate views across canonical full episodes; not unique viewers or audience.
THSH,"Tinh Hà ""Say Hi""",THSH_2026,2026,music_fandom,closed_season,airing,14,5,9,,,,,,,,,,,,2026-08-12T13:52:21.084157+07:00,FAIL,Pilot totals suppressed on FAIL; unresolved evidence remains.
ATVNCG,Anh Trai Vượt Ngàn Chông Gai,ATVNCG_2024,2024,music_fandom,closed_season,completed,15,15,0,73916340,4927756,4362649,1,9633408,7,3060644,32922025,6584405,51054670,5105467,2026-08-12T13:29:41.176900+07:00,WARNING,Aggregate views across canonical full episodes; not unique viewers or audience.
ATVNCG,Anh Trai Vượt Ngàn Chông Gai,ATVNCG_2026,2026,music_fandom,closed_season,airing,15,6,9,19693408,3282234.67,2612944.0,1,6598360,4,1682382,17887771,3577554.2,,,2026-08-12T13:30:02.436913+07:00,WARNING,Views-to-date across aired canonical full episodes; not unique viewers or audience.
CDDG,Chị Đẹp Đạp Gió,CDDG_2023,2023,music_fandom,closed_season,completed,15,15,0,52775149,3518343.27,3355775,1,6974669,13,2077977,22543236,4508647.2,37223298,3722329.8,2026-08-12T13:30:43.959268+07:00,PASS,Aggregate views across canonical full episodes; not unique viewers or audience.
CDDG,Chị Đẹp Đạp Gió,CDDG_2024,2024,music_fandom,closed_season,completed,15,15,0,48300023,3220001.53,3005810,1,5336679,15,2378051,18963642,3792728.4,34203125,3420312.5,2026-08-12T13:31:52.156437+07:00,WARNING,Aggregate views across canonical full episodes; not unique viewers or audience.
