platform,native_content_id,metric_name,metric_value_exact,observed_at,metric_definition_version,visibility,receipt_id
youtube,Xdqdt6eobbk,like_count,58000,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
youtube,Xdqdt6eobbk,comment_count,9960,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
youtube,CXrJ1_dTtz4,view_count,531494,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,cwlToxaWuL8,view_count,831708,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,vs5PyV_nvH8,view_count,280351,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,XUvWJyj273c,view_count,176496,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,5X8_IxZo8w8,view_count,10717300,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
youtube,5X8_IxZo8w8,like_count,110000,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
youtube,5X8_IxZo8w8,comment_count,13113,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
youtube,v8WCvNSPSa0,view_count,6945454,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
youtube,v8WCvNSPSa0,like_count,79000,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
youtube,v8WCvNSPSa0,comment_count,7974,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
youtube,2HFRyTKYMAo,view_count,21648,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,e-Zg0_bf9lA,view_count,34685,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,tSshdpvm2ko,view_count,2423184,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
youtube,tSshdpvm2ko,like_count,9500,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
youtube,tSshdpvm2ko,comment_count,400,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
youtube,64Njw-cCJkg,view_count,188182,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,vBXDH2nltYY,view_count,71803,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,fBsruxXXeTc,view_count,128395,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,WeRZqP8TpJo,view_count,116160,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,nxTzWhDwv_Y,view_count,4560931,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
youtube,nxTzWhDwv_Y,like_count,64000,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
youtube,nxTzWhDwv_Y,comment_count,5718,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
youtube,BP236Tcs5mk,view_count,12681,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,HdMx4Fq-lxo,view_count,23661,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,3ClIC-yT-Fc,view_count,978152,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,V35glHJioZ8,view_count,4833,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
