show_id,show_name,content_role,query,max_results,include_shorts,include_livestreams,run_status
THSH,"Tinh Hà ""Say Hi""",HIGHLIGHT,"""Tinh Hà ""Say Hi"""" (highlight OR ""khoanh khac"" OR ""best moment"")",30,True,True,NOT_RUN
THSH,"Tinh Hà ""Say Hi""",TEASER_PREVIEW,"""Tinh Hà ""Say Hi"""" (teaser OR trailer OR preview OR ""xem truoc"" OR ""hong tap"" OR ""don xem"")",30,True,True,NOT_RUN
THSH,"Tinh Hà ""Say Hi""",RECAP_COMMENTARY,"""Tinh Hà ""Say Hi"""" (recap OR ""nhin lai"" OR reaction OR ""binh luan"" OR ""phan tich"")",30,True,True,NOT_RUN
THSH,"Tinh Hà ""Say Hi""",PRODUCTION_ACCESS,"""Tinh Hà ""Say Hi"""" (""hau truong"" OR ""behind the scenes"" OR backstage OR ""making of"" OR rehearsal OR ""nhat ky"")",30,True,True,NOT_RUN
THSH,"Tinh Hà ""Say Hi""",INTERVIEW_PRESS,"""Tinh Hà ""Say Hi"""" (interview OR ""phong van"" OR ""hop bao"" OR ""le ra mat"")",30,True,True,NOT_RUN
THSH,"Tinh Hà ""Say Hi""",MUSIC_PERFORMANCE,"""Tinh Hà ""Say Hi"""" (""official mv"" OR ""music video"" OR ""lyric video"" OR ost OR performance OR ""live stage"" OR ""dance practice"")",30,True,True,NOT_RUN
THSH,"Tinh Hà ""Say Hi""",EXTENDED_DELETED,"""Tinh Hà ""Say Hi"""" (uncut OR extended OR ""khong len song"" OR ""deleted scene"")",30,True,True,NOT_RUN
THSH,"Tinh Hà ""Say Hi""",CAST_CHALLENGE,"""Tinh Hà ""Say Hi"""" (cast OR ""thu thach"" OR challenge OR game OR vlog)",30,True,True,NOT_RUN
THSH,"Tinh Hà ""Say Hi""",SHORT_FORM,"""Tinh Hà ""Say Hi"""" (shorts OR reel OR ""short video"")",30,True,True,NOT_RUN
THSH,"Tinh Hà ""Say Hi""",LIVESTREAM,"""Tinh Hà ""Say Hi"""" (livestream OR ""live stream"" OR ""live full"")",30,True,True,NOT_RUN
THSH,"Tinh Hà ""Say Hi""",COMPILATION,"""Tinh Hà ""Say Hi"""" (compilation OR ""tong hop"" OR ""tuyen tap"" OR ""top khoanh khac"")",30,True,True,NOT_RUN
THSH,"Tinh Hà ""Say Hi""",COMMUNITY_TRANSFORMATIVE,"""Tinh Hà ""Say Hi"""" (remix OR duet OR stitch OR meme OR ""fan edit"" OR fancam OR parody OR cover)",30,True,True,NOT_RUN
ATVNCG,Anh Trai Vượt Ngàn Chông Gai,CLIP,"""Anh Trai Vượt Ngàn Chông Gai"" (clip OR ""trich doan"" OR ""phan thi"" OR ""man trinh dien"")",30,True,True,NOT_RUN
ATVNCG,Anh Trai Vượt Ngàn Chông Gai,HIGHLIGHT,"""Anh Trai Vượt Ngàn Chông Gai"" (highlight OR ""khoanh khac"" OR ""best moment"")",30,True,True,NOT_RUN
ATVNCG,Anh Trai Vượt Ngàn Chông Gai,TEASER_PREVIEW,"""Anh Trai Vượt Ngàn Chông Gai"" (teaser OR trailer OR preview OR ""xem truoc"" OR ""hong tap"" OR ""don xem"")",30,True,True,NOT_RUN
ATVNCG,Anh Trai Vượt Ngàn Chông Gai,RECAP_COMMENTARY,"""Anh Trai Vượt Ngàn Chông Gai"" (recap OR ""nhin lai"" OR reaction OR ""binh luan"" OR ""phan tich"")",30,True,True,NOT_RUN
ATVNCG,Anh Trai Vượt Ngàn Chông Gai,PRODUCTION_ACCESS,"""Anh Trai Vượt Ngàn Chông Gai"" (""hau truong"" OR ""behind the scenes"" OR backstage OR ""making of"" OR rehearsal OR ""nhat ky"")",30,True,True,NOT_RUN
ATVNCG,Anh Trai Vượt Ngàn Chông Gai,INTERVIEW_PRESS,"""Anh Trai Vượt Ngàn Chông Gai"" (interview OR ""phong van"" OR ""hop bao"" OR ""le ra mat"")",30,True,True,NOT_RUN
ATVNCG,Anh Trai Vượt Ngàn Chông Gai,MUSIC_PERFORMANCE,"""Anh Trai Vượt Ngàn Chông Gai"" (""official mv"" OR ""music video"" OR ""lyric video"" OR ost OR performance OR ""live stage"" OR ""dance practice"")",30,True,True,NOT_RUN
ATVNCG,Anh Trai Vượt Ngàn Chông Gai,EXTENDED_DELETED,"""Anh Trai Vượt Ngàn Chông Gai"" (uncut OR extended OR ""khong len song"" OR ""deleted scene"")",30,True,True,NOT_RUN
ATVNCG,Anh Trai Vượt Ngàn Chông Gai,CAST_CHALLENGE,"""Anh Trai Vượt Ngàn Chông Gai"" (cast OR ""thu thach"" OR challenge OR game OR vlog)",30,True,True,NOT_RUN
ATVNCG,Anh Trai Vượt Ngàn Chông Gai,SHORT_FORM,"""Anh Trai Vượt Ngàn Chông Gai"" (shorts OR reel OR ""short video"")",30,True,True,NOT_RUN
ATVNCG,Anh Trai Vượt Ngàn Chông Gai,LIVESTREAM,"""Anh Trai Vượt Ngàn Chông Gai"" (livestream OR ""live stream"" OR ""live full"")",30,True,True,NOT_RUN
ATVNCG,Anh Trai Vượt Ngàn Chông Gai,COMPILATION,"""Anh Trai Vượt Ngàn Chông Gai"" (compilation OR ""tong hop"" OR ""tuyen tap"" OR ""top khoanh khac"")",30,True,True,NOT_RUN
ATVNCG,Anh Trai Vượt Ngàn Chông Gai,COMMUNITY_TRANSFORMATIVE,"""Anh Trai Vượt Ngàn Chông Gai"" (remix OR duet OR stitch OR meme OR ""fan edit"" OR fancam OR parody OR cover)",30,True,True,NOT_RUN
CDDG,Chị Đẹp Đạp Gió,CLIP,"""Chị Đẹp Đạp Gió"" (clip OR ""trich doan"" OR ""phan thi"" OR ""man trinh dien"")",30,True,True,NOT_RUN
