platform,native_content_id,content_url,show_id,season_id,title,platform_format,content_role,authority_class,relationship_target_type,relationship_evidence,classification_state,review_status,published_at,duration_seconds,view_count,like_count,comment_count,availability_status,observed_at,actor_run_id,source_url
youtube,4CHIUdNfu4Y,https://www.youtube.com/watch?v=4CHIUdNfu4Y&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=20,ATSH,ATSH_2024,"""Say hi"": MC Trấn Thành tung hint về dàn Anh Trai và giám đốc âm nhạc xịn xò | Anh Trai ""Say Hi""",VIDEO,UNKNOWN,PRIMARY_BROADCASTER,SEASON,OFFICIAL_PLAYLIST_COLLECTION,NEEDS_REVIEW,NEEDS_REVIEW,2024-04-10T12:00:06.000Z,214,49218,,,available,,6aaRakgaGJxf19zR1,https://www.youtube.com/watch?v=4CHIUdNfu4Y&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=20
youtube,BwErdsjHbYk,https://www.youtube.com/watch?v=BwErdsjHbYk&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=23,ATSH,ATSH_2024,"BTS: Trọn bộ moment đáng giá của Anh Trai HIEUTHUHAI, Bắp - Song Luân không ra sân chỉ ""sân si""",VIDEO,BEHIND_THE_SCENES,PRIMARY_BROADCASTER,SEASON,OFFICIAL_PLAYLIST_COLLECTION,ACCEPTED,ACCEPTED,2024-04-24T06:23:19.000Z,644,47358,,,available,,6aaRakgaGJxf19zR1,https://www.youtube.com/watch?v=BwErdsjHbYk&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=23
youtube,0Gf5hvT7mRY,https://www.youtube.com/watch?v=0Gf5hvT7mRY&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=9,ATSH,ATSH_2024,"Anh Trai Say Hi Tập 7: Dàn anh trai cùng khách mời oanh tạc Livestage 3, team nào tạo nên SIÊU PHẨM",VIDEO,PERFORMANCE,PRIMARY_BROADCASTER,EPISODE,OFFICIAL_PLAYLIST_COLLECTION,NEEDS_REVIEW,CANONICAL_OVERLAP,2024-08-03T13:00:07.000Z,7247,9710009,,,available,,6aaRakgaGJxf19zR1,https://www.youtube.com/watch?v=0Gf5hvT7mRY&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=9
youtube,J3kCVv5SXNk,https://www.youtube.com/watch?v=J3kCVv5SXNk&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=3,ATSH,ATSH_2024,"Anh Trai Say Hi Tập 13: Chấn động đêm CHUNG KẾT 2, mãn nhãn với 8 tiết mục solo bùng cháy sân khấu",VIDEO,PERFORMANCE,PRIMARY_BROADCASTER,EPISODE,OFFICIAL_PLAYLIST_COLLECTION,NEEDS_REVIEW,CANONICAL_OVERLAP,2024-09-07T13:00:07.000Z,9211,8767608,,,available,,6aaRakgaGJxf19zR1,https://www.youtube.com/watch?v=J3kCVv5SXNk&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=3
youtube,lqp2_F53XPM,https://www.youtube.com/watch?v=lqp2_F53XPM&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=16,ATSH,ATSH_2024,"THE STARS - Official MV Theme Song | Anh Trai ""Say Hi""",VIDEO,UNKNOWN_REUPLOAD,OFFICIAL_MUSIC_CHANNEL,SEASON,OFFICIAL_PLAYLIST_COLLECTION,NEEDS_REVIEW,NEEDS_REVIEW,2024-06-05T12:00:07.000Z,301,1789312,,,available,,6aaRakgaGJxf19zR1,https://www.youtube.com/watch?v=lqp2_F53XPM&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=16
youtube,LLsGSQBv5yI,https://www.youtube.com/watch?v=LLsGSQBv5yI&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=19,ATSH,ATSH_2024,"[Teaser] Đại tiệc visual, 30 Anh Trai sẵn sàng bứt phá mọi giới hạn của bản thân | Anh Trai ""Say Hi""",VIDEO,TEASER_PREVIEW,PRIMARY_BROADCASTER,SEASON,OFFICIAL_PLAYLIST_COLLECTION,ACCEPTED,ACCEPTED,2024-06-07T14:00:29.000Z,527,81279,,,available,,6aaRakgaGJxf19zR1,https://www.youtube.com/watch?v=LLsGSQBv5yI&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=19
youtube,7Guuuo8jCTM,https://www.youtube.com/watch?v=7Guuuo8jCTM&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=26,ATSH,ATSH_2024,"Trấn Thành tiết lộ liên hoàn hint chấn động về Anh Trai ""Say Hi"" #AnhTraiSayHi #AnhTrai #shorts",SHORT,SHORT,PRIMARY_BROADCASTER,SEASON,OFFICIAL_PLAYLIST_COLLECTION,ACCEPTED,ACCEPTED,2024-04-11T03:11:25.000Z,60,13403,,,available,,6aaRakgaGJxf19zR1,https://www.youtube.com/watch?v=7Guuuo8jCTM&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=26
youtube,2V20IKyMqnM,https://www.youtube.com/watch?v=2V20IKyMqnM&list=PLy_TpcUT2LZuLuV_ZdXi-Q84PGwjQ2GR3&index=2,TD1K2,TD1K2_2025,"Say Hi Rực Rỡ - Tập 3: Hội anh trai trốn khỏi rừng, hé lộ cuốn nhật kí ""cảm lạnh"" 80 trang",VIDEO,UNKNOWN,PRIMARY_PRODUCER,EPISODE,OFFICIAL_PLAYLIST_COLLECTION,NEEDS_REVIEW,NEEDS_REVIEW,2026-06-21T13:00:07.000Z,6389,2379100,,,available,,b3w6qu4GW44XrWW2G,https://www.youtube.com/watch?v=2V20IKyMqnM&list=PLy_TpcUT2LZuLuV_ZdXi-Q84PGwjQ2GR3&index=2
youtube,lGepyqJ98uM,https://www.youtube.com/watch?v=lGepyqJ98uM&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=30,ATSH,ATSH_2024,"BTS: Anh trai Gin Tuấn Kiệt được Puka đến tiếp năng lượng, Yuno BigBoi có lăn xả nhưng không đáng kể",VIDEO,BEHIND_THE_SCENES,PRIMARY_BROADCASTER,SEASON,OFFICIAL_PLAYLIST_COLLECTION,ACCEPTED,ACCEPTED,2024-04-28T05:00:22.000Z,568,21142,,,available,,6aaRakgaGJxf19zR1,https://www.youtube.com/watch?v=lGepyqJ98uM&list=PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6&index=30
youtube,JNSfZNYiimg,https://www.youtube.com/watch?v=JNSfZNYiimg&list=PLxKLMN7WdG5DgQQKKUMdu2_ZOgfoSMPT7&index=10,SONG,SONG_2024,"Anh Trai “Say Hi!” chào sân: Hoành tráng, mãn nhãn, 10 điểm không nhưng | Sóng 24",VIDEO,ANNUAL_SEGMENT,PRIMARY_BROADCASTER,SEASON,OFFICIAL_PLAYLIST_COLLECTION,ACCEPTED,ACCEPTED,2024-02-11T02:00:20.000Z,337,780987,,,available,,19BPcrDoEeNIg89PR,https://www.youtube.com/watch?v=JNSfZNYiimg&list=PLxKLMN7WdG5DgQQKKUMdu2_ZOgfoSMPT7&index=10
